英文名,性别,音标,中文译名,来源,流行度
Aalto,中性,['a:lt&#596;:],阿尔托,芬兰语,无
Aaron,男性,['&#603;&#601;r&#601;n],亚伦,希伯来语,★★
Ab,男性,[&#230;b],阿布,英语,无
Abadam,中性,[&#601;'b&#230;d&#601;m],阿巴达姆,英语,无
Abbado,中性,[&#601;'ba:d&#601;u],阿巴多,,无
Abbas,男性,[&#601;'b&#230;s],阿巴斯,阿拉伯和希伯来,无
Abbe,中性,['&#230;bi],阿贝,英语,无
Abbet,中性,['&#230;bit],阿贝特,英语,无
Abbey,女性,['&#230;bi],阿比,希伯来语,★
Abbot,男性,['&#230;b&#601;t],阿博特,希伯来语,无
Abbott,男性,['&#230;b&#601;t],阿博特,希伯来,★★★
Abbs,中性,[&#230;bz],阿布斯,英语,无
Abby,女性,['&#230;bi],阿比,希伯来语,无
Abdey,中性,['&#230;bdi],阿布迪,英语,无
Abdie,中性,['&#230;bdi],阿布迪,英语,无
Abdul,男性,[a:b'du:l],阿卜杜勒,阿拉伯语,无
Abe,男性,[eib],艾贝,希伯来,★
Abel,男性,['eib&#601;l],艾贝尔,希伯来语,★★
Abelard,男性,['&#230;b&#601;la:d],阿伯拉尔,德语,无
Abell,男性,['eibel],艾贝尔,希伯来语,★
Abelson,中性,['eiblsn],艾贝尔森,英语,无
Abercrombie,中性,['&#230;b&#601;kr&#652;mbi],阿伯克龙比,布立吞语,★
Abercromby,中性,['&#230;b&#601;kr&#652;mbi],阿伯克龙比,布立吞语,无
Aberdeen,女性,[&#230;b&#601;'di:n],阿伯丁,苏格兰,无
Abernathy,中性,[.&#230;b&#601;'nei&#240;i],阿伯内西,苏格兰语,★★
Abernethy,中性,[.&#230;b&#601;'ne&#952;i],阿伯内西,布立吞语,★
Abigail,女性,['&#230;bigeil],阿比盖尔,希伯来语,无
Able,男性,['eibl],埃布尔,希伯来语,★
Ableson,男性,['eiblsn],埃布尔森,希伯来语,无
Ablett,男性,['&#230;blit],阿布利,希伯来语,无
Ablewhite,中性,['eiblhwait],埃布尔怀特,,无
Ablitt,男性,['&#230;blit],阿布利特,,无
Ablott,中性,['&#230;bl&#601;t],阿布洛特,,无
Abner,男性,['&#230;bn&#601;],阿布纳,希伯来语,★
Abraham,男性,['eibr&#601;h&#230;m],亚伯拉罕,希伯来语,★★
Abrahams,中性,['eibr&#601;h&#230;m],亚伯拉罕斯,希伯来语,★
Abrahamson,中性,['eibr&#601;h&#230;msn],亚伯拉罕森,希伯来语,★
Abram,男性,['eibr&#601;m],艾布拉姆,希伯来语,★
Abrams,中性,['eibr&#601;mz],艾布拉姆斯,英语,★★
Abramson,中性,['eibr&#601;msn],艾布拉姆森,英语,★
Abrikosor,中性,[&#601;bri'k&#596;s&#596;f],阿布里科索夫,,无
Absalom,男性,['&#230;bs&#601;l&#601;m],阿布萨龙,希伯来语,无
Absolom,中性,['&#230;bs&#601;l&#601;m],阿布索龙,英语,无
Absolon,男性,['&#230;bs&#601;l&#601;n],阿布索伦,法语,无
Aby,男性,['eibi],艾比,英语,无
Ace,男性,[eis],埃斯,拉丁语,无
Achard,中性,[&#601;'&#643;a:],阿沙尔,盎格鲁诺曼底法语,无
Achebe,中性,['a:t&#643;eibei],阿契贝,,无
Acheson,中性,['&#230;t&#643;isn],艾奇逊,英语,★
Achilles,男性,[&#601;'kili:z],阿基里斯/阿喀琉斯,希腊,无
Ackary,中性,['&#230;k&#601;ri],阿克里,,无
Acker,中性,['&#230;k&#601;],阿克,中世纪英语,★★
Ackerly,男性,['&#230;k&#601;li],阿克利,英语,无
Ackerman,中性,['&#230;k&#601;m&#601;n],阿克曼,,★★
Ackers,中性,['&#230;k&#601;z],阿克斯,英语,无
Ackery,中性,['&#230;k&#601;ri],阿克里,,无
Acket,中性,['&#230;kit],阿克特,英语,无
Acketts,中性,['&#230;kits],阿克茨,英语,无
Ackland,中性,['&#230;kl&#601;nd],阿克兰,古英语,无
Ackroyd,中性,['&#230;kr&#596;id],阿克罗伊德,北方中世纪英语,无
Acland,中性,['&#230;kl&#601;nd],阿克兰,英语,无
Acre,中性,['eik&#601;],埃克,英国,无
Acreman,中性,['eik&#601;m&#601;n],埃克曼,英语,无
Acres,中性,['eik&#601;z],埃克斯,英语,无
Acroyd,中性,['&#230;kr&#596;id],阿克罗伊德,英语,无
Acton,男性,['&#230;kt&#601;n],阿克顿,古英语,★
Acuff,中性,[&#601;'k&#652;f],阿卡夫,,★
Ad,男性,[&#230;d],阿德,,无
Ada,女性,['eid&#601;],艾达,德语,无
Adah,女性,['eid&#601;],艾达,希伯来语,无
Adair,男性,[&#601;'d&#603;&#601;],阿代尔,德语,★★
Adam,未知,['&#230;d&#601;m],亚当,希伯来语,★★
Adams,男性,['&#230;d&#601;mz],亚当斯,希伯来语,★★★★
Adamson,男性,['&#230;d&#601;msn],亚当森,古英语,★★
Adcock,中性,['&#230;dk&#596;ks],阿德科克,英语,★★
Adcocks,中性,['&#230;dk&#596;ks],阿德科克斯,英语,无
Addams,男性,['&#230;d&#601;mz],亚当斯,希伯来语,无
Adderley,中性,['&#230;d&#601;li],阿德利,古英语,无
Addess,中性,['&#230;dis],阿德斯,英语,无
Addey,中性,['&#230;di],阿迪,英语,无
Addie,女性,['&#230;di],阿迪,德语,无
Addington,中性,['&#230;ti&#331;t&#601;n],阿丁顿,古英语,★
Addinsell,中性,[adinsel],阿丁塞尔,,无
Addis,男性,['&#230;dis],阿迪斯,古英语,★
Addison,男性,[&#230;disn],阿迪森，或艾迪生,古英语,★★
Addy,女性,['&#230;di],阿迪,英语,★
Addyman,中性,['&#230;dim&#601;n],阿迪曼,英语,无
Ade,男性,[eid],埃德,英语,无
Adeane,中性,[&#601;'di:n],阿迪恩,英语,无
Adela,女性,['&#230;dil&#601;],阿德拉,日耳曼语,无
Adelaide,女性,['&#230;d&#601;leid],阿德莱德,日耳曼语,无
Adele,女性,[&#601;'del],阿黛尔,德语,无
Adelina,女性,[.&#230;di'li:n&#601;],阿德利娜,法语,无
Adeline,女性,['&#230;dili:n],阿德琳,日耳曼语,无
Adenauer,中性,['a:d&#601;nau&#601;],阿登纳,,无
Ades,中性,[eidz],埃兹,英语,无
Adey,中性,['&#230;di],阿迪,英语,无
Adger,中性,['&#230;d&#658;&#601;],阿杰,英语,无
Adie,中性,['eidi],埃迪,英语,无
Adkin,中性,['&#230;dkin],阿德金,英语,无
Adkins,男性,['&#230;dkinz],阿德金斯,古英语,★★★
Adlam,中性,['&#230;dl&#601;m],阿德拉姆,日耳曼语,无
Adlard,中性,['&#230;la:d],阿德拉德,英语,无
Adler,男性,['&#230;dl&#601;r],阿德勒,德语,★★
Adlington,中性,['&#230;dli&#331;t&#601;n],阿德林顿,古英语,无
Baade,未知,['ba:hd&#650;h],巴德,,无
Baal,男性,[bal],巴力,圣经,无
Bab,女性,[b&#230;b],巴布,阿拉伯语,无
Babb,中性,[b&#230;b],巴布,古英语,★★
Babbage,中性,[b&#601;'beid&#658;],巴贝奇,,无
Babbie,女性,['b&#230;bi],巴比,,无
Babbitt,中性,['b&#230;bit],巴比特,,★
Babbs,中性,[b&#230;bz],巴布斯,,无
Babcock,中性,['b&#230;bk&#596;k],巴布科克,,★★
Baber,男性,['ba:b&#601;],巴伯尔,北印度语,★
Babette,女性,[b&#230;'bet],巴贝特,法语,无
Babington,中性,['b&#230;bi&#331;t&#601;n],巴宾顿,古英语,无
Babs,女性,[b&#230;bz],巴布丝,英语,无
Babur,男性,['ba:b&#650;&#601;],巴伯尔,,无
Bacchus,男性,['b&#230;k&#601;s],巴克斯,拉丁语,无
Bach,中性,[bah],贝奇；巴赫,中世纪英语,★
Bacharach,中性,['b&#230;k&#601;r&#230;k],巴卡拉克,,无
Bache,中性,['beit&#643;],贝奇,,无
Bacheler,中性,['b&#230;t&#643;&#601;l&#601;],巴彻勒,,无
Bachelet,中性,[bat&#643;elet],巴切莱特,,无
Bacheller,中性,['b&#230;t&#643;&#601;l&#601;],巴彻勒,,无
Bachelor,男性,['b&#230;t&#643;&#601;l&#601;],巴彻勒,中世纪英语，古法语,无
Back,中性,[b&#230;k],巴克,中世纪英语,★
Backer,中性,['b&#230;k&#601;],巴克尔,,★
Backhouse,中性,['b&#230;khaus],巴克豪斯,中世纪英语,无
Backler,中性,['b&#230;kl&#601;],巴克勒,,无
Backman,中性,['b&#230;km&#601;n],巴克曼,,★
Backs,中性,['b&#230;ks],巴克斯,,无
Backus,中性,['b&#230;k&#601;s],巴克斯,,★
Bacon,中性,['beik&#601;n],培根,日耳曼语,★★
Badcock,中性,['b&#230;dk&#596;k],巴德科克,,无
Baddams,中性,['b&#230;d&#601;mz],巴当斯,,无
Baddeley,中性,['b&#230;d&#601;li],巴德利,古英语,无
Bade,中性,[beid],贝德,古英语,★
Bader,女性,['beid&#601;],巴德,阿拉伯语,★
Badger,中性,['b&#230;d&#658;&#601;],巴杰,古英语,★
Badgers,中性,['b&#230;d&#658;&#601;z],巴杰斯,,无
Badham,中性,['b&#230;d&#601;m],巴德姆,古英语,无
Badman,中性,['b&#230;dm&#601;n],巴德曼,,无
Baer,中性,[be&#601;],贝尔,,★★
Baeyer,中性,['bej&#601;r],贝耶尔,,无
Baez,中性,[beijz],贝兹,,★★
Baffin,中性,['b&#230;fin],巴芬,,无
Bage,中性,[beid&#658;],贝奇,,无
Bagehot,中性,['b&#230;d&#658;&#601;t],巴杰特,,无
Bagg,中性,[b&#230;g],巴格,,无
Bagge,中性,[b&#230;g],巴格,中世纪英语,无
Bagley,中性,['b&#230;gli],巴格利,古英语,★★
Bagnall,中性,['b&#230;gn&#601;l],巴格诺尔,古英语,无
Bagnell,中性,['b&#230;gn&#601;l],巴格内尔,,无
Bagnold,中性,['b&#230;gn&#601;ld],巴格诺尔德,,无
Bagot,男性,['b&#230;g&#601;t],巴戈特,英语,无
Bagott,中性,['b&#230;g&#601;t],巴戈特,,无
Bagshaw,中性,['b&#230;g&#643;&#596;:],巴格肖,古英语,无
Bagshawe,中性,['b&#230;g&#643;&#596;:],巴格肖,,无
Bail,中性,[beil],贝尔,,无
Bailey,中性,['beili],贝利,古英语,★★★★
Bailie,中性,['beili],贝利,英语,无
Bailif,中性,['beilif],贝利夫,,无
Bailiff,中性,['beilif],贝利夫,,无
Baillie,男性,['beili],贝利,英语,无
Baillif,中性,['beilif],贝利夫,,无
Bailliff,中性,['beilif],贝利夫,,无
Baily,男性,['beili],贝利,英语,★
Bain,男性,[bein],贝恩,英语,★★
Bainbridge,男性,['beibrid&#658;],班布里奇,爱尔兰语,★
Baines,中性,[beinz],贝恩斯,古英语,★
Bains,中性,[beinz],贝恩斯,古英语,无
Baird,中性,[b&#603;&#601;d],贝尔德,凯尔特语,★★★
Bairnsfather,中性,['b&#603;&#601;nz.fa:&#240;&#601;],班斯法瑟,中古英语或古诺斯语,无
Bairstow,中性,['b&#603;&#601;st&#601;u],贝尔斯托,古英语,无
Baise,中性,[beiz],贝斯,古英语,无
Baish,中性,[bei&#643;],贝什,古英语,无
BaistOW,中性,,贝斯托,古英语,无
Baitson,中性,['beitsn],贝特森,古英语,无
Bajer,中性,['bai&#601;r],巴耶,,无
Bakehouse,中性,['beikhaus],贝克豪斯,,无
Baker,男性,['beik&#601;],贝克,"中世纪英语, 古英语",★★★★
Bakewell,中性,['beikw&#601;l],贝克威尔,古英语,无
Balaam,男性,['beil&#230;m],贝拉姆,圣经,无
Balboa,中性,[b&#230;l'b&#601;u&#601;],巴尔沃亚,,无
Balch,中性,[b&#596;:lt&#643;],鲍尔奇,中古英语,★
Balcher,中性,['ba:lt&#643;&#601;],鲍尔彻,古英语,无
Balchin,中性,['b&#596;:lt&#643;in],鲍尔钦,古英语,无
Balcombe,中性,['b&#230;lk&#601;um],巴尔科姆,古英语,无
Bald,男性,[b&#596;:ld],鲍尔德,德语,无
Balderston,中性,['b&#596;:ld&#601;st&#601;un],鲍尔德斯顿,古英语,无
Balderstone,中性,['b&#596;:ld&#601;st&#601;un],鲍尔德斯通,,无
Baldick,中性,['b&#596;:ldik],鲍迪克,,无
Baldie,男性,['b&#596;:ldi],鲍尔迪,苏格兰语,无
Baldock,中性,['b&#596;:ld&#601;k],鲍多克,,无
Baldrey,中性,['b&#596;:ldri],鲍德里,,无
Baldrick,男性,['b&#596;:ldrik],鲍德里克,德语,无
Baldry,中性,['b&#596;:ldri],鲍德里,日耳曼语,无
Baldwin,男性,['b&#596;:ldwin],鲍德温,德语,★★★
Bale,中性,[beil],贝尔,,★
Bales,中性,[beilz],贝尔斯,,★★
Balfe,中性,[b&#230;lf],巴尔夫,盖尔语,无
Balfour,男性,['b&#230;lf&#601;],巴尔弗,盖尔语,无
Balkwill,中性,['b&#596;:kwil],鲍克威尔,古英语，中世纪英语,无
Ball,中性,[b&#596;:l],鲍尔,,★★★
Ballaam,中性,['b&#230;l&#601;m],巴拉姆,,无
Ballantine,中性,['b&#230;l&#601;ntain],巴兰坦,,无
Ballantyne,中性,['b&#230;l&#601;ntain],巴兰坦,盖尔语,无
Ballard,男性,['b&#230;l&#601;d],巴拉德,德语,★★★
Cahill,中性,['ka:hil],卡希尔,盖尔语,★★
Cain,男性,[kein],凯恩,希伯来语,★★★
Calderon,中性,['k&#596;:ld&#601;r&#601;n],考尔德伦,古法语,★★★
Caldwell,男性,[k&#596;:ldw&#601;l],考尔德韦尔,古英语,★★★
Caleb,男性,['k&#230;l&#601;b],凯莱布,希伯来语,无
Callie,女性,['k&#596;:li],考利,英语,无
Calloway,中性,['k&#230;l&#601;.wei],卡洛韦,法语,★★
Calvert,男性,['k&#230;lv&#601;t],卡尔弗特,古英语,★★
Calvin,男性,['k&#230;lvin],卡尔文,拉丁语,★
Cameron,中性,['k&#230;m&#601;r&#601;n],卡梅伦,苏格兰语，盖尔语,★★★
Camilla,女性,[k&#601;'mil&#601;],卡米拉,拉丁语,无
Campbell,男性,['k&#230;mbl],坎贝尔,盖尔语,★★★★
Candace,女性,['k&#230;nd&#601;.si],坎迪丝,埃塞俄比亚语或拉丁语,无
Candida,女性,['k&#230;ndidi&#601;],坎迪达,拉丁语,无
Cannon,中性,['k&#230;n&#601;n],坎农,法语,★★★
Capps,中性,[k&#230;ps],卡普斯,英语,★★
Cara,女性,['k&#230;r&#601;],凯拉,凯尔特语,无
Cardwell,中性,['ka:dw&#601;l],卡德韦尔,英语,★★
Carey,女性,['k&#603;&#601;ri],凯里,凯尔特语,★★★
Carl,男性,[ka:l],卡尔,古德语,★★
Carla,女性,['ka:l&#601;],卡拉,拉丁语,无
Carlisle,男性,[ka:'lail],卡莱尔,英语,★★
Carlotta,女性,[ka:'l&#596;t&#601;],卡洛塔,法语,无
Carlson,男性,['ka:ls&#601;n],卡尔森,英语,★★★
Carlton,女性,['ka:lt&#601;n],卡尔顿,古英语,★★
Carman,男性,['ka:m&#601;n],卡曼,盎格鲁诺曼底法语,★
Carmel,中性,['k&#593;:mel],卡梅尔,希伯来语,无
Carmela,女性,[ka:'mel&#601;],卡梅拉,西班牙语,无
Carmelita,女性,[.ka:m&#601;'li:t&#601;],卡梅莉塔,希伯来语,无
Carmen,女性,['ka:men],卡门,西班牙语,★
Carmichael,男性,[ka:'maikl],卡迈克尔,盖尔语,★★
Carnes,中性,[ka:nz],卡恩斯,爱尔兰语,★★
Carney,男性,['ka:ni],卡尼,盖尔语,★★
Carol,女性,['k&#230;r&#601;l],卡罗尔,古德语,无
Carola,女性,['k&#230;r&#601;l&#601;],卡罗拉,英语,无
Carole,女性,['k&#230;r&#601;l],卡罗尔,法语,无
Carolina,女性,[.k&#230;r&#601;'lain&#601;],卡罗莱娜,英语,无
Caroline,女性,['k&#230;l&#601;lain],卡罗琳,拉丁语,无
Carolyn,女性,['k&#230;r&#601;lin],卡罗琳,英语,无
Carpenter,中性,['ka:p&#601;nt&#601;],卡朋特,拉丁语,★★★★
Carr,男性,[ka:],卡尔,斯堪的纳维亚语,★★★★
Carrie,女性,['k&#230;ri],卡丽,盖尔语,无
Carrier,中性,['k&#230;ri&#601;],卡里尔,中世纪英语,★★
Carrol,男性,['k&#230;r&#601;l],卡罗尔,凯尔特语,★
Carroll,男性,['k&#230;r&#601;l],卡罗尔,盖尔语,★★★★
Carson,男性,['ka:sn],卡森,斯堪的纳维亚语,★★★
Carter,男性,['ka:t&#601;],卡特,古英语,★★★★
Cartwright,男性,['ka:t.rait],卡特赖特,英语,★★
Carver,男性,['k&#593;:v&#601;],卡弗,古英语,★★★
Cary,男性,['k&#603;&#601;ri],加里,凯尔特语,★★
Case,男性,[keis],凯斯,英语，法语,★★★
Casey,男性,['keisi],凯西,爱尔兰语,★★★
Cash,中性,[k&#230;&#643;],卡什,英语,★★
Cassandra,女性,[k&#601;'s&#230;ndr&#601;],卡珊德拉,希腊语,无
Cassidy,女性,['k&#230;sidi],卡西迪,盖尔语,★★
Cassie,女性,['k&#230;si],卡西,希腊语,无
Castle,男性,['ka:sl],卡斯尔,英语,★★
Castro,中性,['k&#230;str&#601;u],卡斯特罗,,★★★
Cates,中性,[keits],凯茨,古诺斯语,★★
Catharine,女性,['k&#230;&#952;&#601;rin],凯瑟琳,爱尔兰语,无
Catherina,女性,[.k&#230;&#952;&#601;'ri:n&#601;],凯瑟琳娜,英语,无
Catherine,女性,['k&#230;&#952;&#601;rin],凯瑟琳,希腊语,无
Cathie,女性,['k&#230;&#952;i],卡西,英语,无
Cathleen,女性,['k&#230;&#952;li:n],凯思琳,希腊语,无
Cathryn,女性,['k&#230;&#952;rin],凯思琳,盎格鲁-撒克逊语,无
Cathy,女性,['k&#230;&#952;i],卡西,英语,无
Cecelia,女性,[si'si:lj&#601;],塞西莉亚,拉丁语,无
Cecil,男性,['sesl],塞西尔,拉丁语,★★
Cecile,中性,['sesil],塞西尔,拉丁语,无
Cecilia,女性,[si'sij&#601;],塞西莉亚,拉丁语,无
Cecily,女性,['sisili],塞西莉,爱尔兰语,无
Cedric,男性,['sedrik],塞德里克,凯尔特语,无
Celeste,女性,[s&#601;'lest],塞莱斯特,拉丁语,无
Celestine,女性,['selistin],塞莉斯廷/塞莱斯廷,拉丁语,★
Celia,女性,['si:lj&#601;],西莉亚,拉丁语,无
Cervantes,中性,[s&#601;:'v&#230;ntiz],塞万提斯,,★★★
Chadwick,男性,['t&#643;&#230;dwik],查德威克,古英语,★★
Chamberlain,男性,[t&#643;eimb&#601;lin],张伯伦,中世纪英语,★★
Chambers,中性,['t&#643;eimb&#601;z],钱伯斯,中世纪英语，古法语,★★★
Chance,男性,[t&#643;&#230;ns],钱斯,中世纪英语,★★
Chandler,中性,['t&#643;a:ndl&#601;],钱德勒,古英语,★★★
Chanel,女性,[&#643;a:'nel],香奈尔,法语,无
Chapman,中性,['t&#643;&#230;pm&#601;n],查普曼,古英语,★★★★
Chappell,女性,[t&#643;&#230;p&#601;l],查普尔,中世纪英语、古法语,★★
Charis,女性,['t&#643;&#230;ris],查丽斯,希腊语,无
Charity,女性,['t&#643;&#230;riti],查丽蒂,拉丁语,★
Charlene,中性,[&#643;a:'li:n],夏琳,日耳曼语,无
Charles,男性,[t&#643;&#593;:lz],查尔斯,古德语,★★★
Charley,男性,['t&#643;a:li],查理,英语,★
Charlie,男性,['t&#643;a:li],查利,德语,★
Charlotte,女性,['&#643;a:l&#601;t],夏洛特，夏洛蒂,法语,无
Chase,男性,[t&#643;eis],蔡斯,英语，古法语,★★★
Chauncey,男性,['t&#643;&#596;:nsi],昌西,拉丁语,无
Cheek,中性,[t&#643;i:k],奇克,中世纪英语,★★
Chelsea,女性,['t&#643;elsi],切尔西,古英语,无
Cherrie,中性,['t&#643;eri],彻里,英语,无
Cherry,中性,['t&#643;eri:],彻丽/彻里,中世纪英语或古法语,★★★
Cheryl,女性,['feril],谢丽尔,日耳曼语,无
Chester,男性,['t&#643;est&#601;],切斯特,古英语，拉丁语,★★
Childers,中性,['t&#643;ild&#601;z],奇尔德斯,古英语,★★
Childress,中性,['t&#643;ildris],柴尔德里斯,英语,★★
Childs,中性,[t&#643;aildz],蔡尔兹,英语,★★
Chiquita,女性,[t&#643;i'ki:t&#601;],奇吉塔,西班牙语,无
Chloe,女性,['kl&#601;ui],克洛伊,希腊语,无
Chris,男性,[kris],克里斯，克里丝,希腊语,无
Dagmar,女性,['d&#230;gma:],达格玛,斯堪的纳维亚语,无
Dahl,中性,[da:l],达尔,,★★
Dahlia,女性,['deilj&#601;],戴利亚,瑞典语,无
Dailey,男性,['deili],戴利,爱尔兰语,★★
Daine,中性,[dein],戴恩,英语,无
Daisy,女性,['deizi],戴西,古英语,无
Dale,男性,[deil],戴尔,古英语,★★
Daley,中性,['deili:],戴利,英语,★★
Dallas,中性,['d&#230;l&#601;s],达拉斯,古英语,★★
Dalton,男性,['d&#596;:lt&#601;n],多尔顿,古英语,★★★
Daly,男性,['deili],戴利,凯尔特语,★★
Damaris,女性,['d&#230;m&#601;ris],达默里斯,希腊语,无
Damian,男性,['deimi&#601;n],戴米安,希腊语,★
Damon,男性,['deim&#601;n],戴蒙,希腊语,★
Dan,男性,[d&#230;n],丹,希伯来语,★
Dana,中性,,戴纳/戴娜,英语,★
Dane,男性,[dein],戴恩,英语,★
Daniel,男性,['d&#230;nj&#601;l],丹尼尔,希伯来语,★★★
Daniels,中性,['d&#230;nj&#601;lz],丹尼尔斯,希伯来语,★★★★
Danny,男性,['d&#230;ni],丹尼,希伯来语,无
Dante,男性,['d&#230;nti],但丁,意大利语,无
Daphne,女性,['d&#230;fni],达夫妮,希腊语,无
Darby,男性,['da:bi],达比,盖尔语,★★
Darcey,女性,['da:si],达西,法语,无
Darcy,中性,['d&#593;:si],达西,凯尔特语,★
Darell,中性,['d&#230;r&#601;l],达雷尔,拉丁语,无
Darius,男性,[d&#601;'rai&#601;s],达赖厄斯,波斯语,无
Darleen,女性,[da:'li:n],达琳,古英语,无
Darling,中性,['da:li&#331;],达林,古英语,★★
Darwin,男性,['da:win],达尔文,古英语,★
Daryl,女性,['d&#230;ril],达丽尔,古英语,无
Daugherty,中性,['d&#596;:eti:],多尔蒂,英语,★★★
Dave,男性,[deiv],戴夫,希伯来语,无
Davenport,男性,['d&#230;v&#601;np&#596;:t],达文波特,古法语,★★★
David,男性,['deivid],戴维,希伯来语,★★★
Davidson,男性,['deividsn],戴维森,英语,★★★
Davies,男性,['deivi:z],戴维斯,威尔士语,★★
Davina,女性,[d&#601;'vi:n&#601;],戴维娜,英语,无
Davis,男性,['devis],戴维斯,苏格兰语,★★★★★
Davison,中性,['deivisn],戴维森,英语,★★
Dawkins,中性,['d&#596;:kinz],道金斯,英语,★★
Dawn,女性,[d&#596;:n],道恩,古英语,无
Dawson,中性,['d&#596;:sn],道森,古英语,★★★
Day,中性,[dei],戴,古英语,★★★
Deal,中性,[di:l],迪尔,英语,★★
Dean,男性,[di:n],迪安,拉丁语,★★★
Deane,女性,[di:n],迪恩,英语,★
Deanna,女性,[di'&#230;n&#601;],迪安娜,拉丁语,无
Deb,女性,[deb],德布,希伯来语,无
Debbie,女性,['debi],德比,希伯来语,无
Debby,女性,['debi],德比,希伯来语,无
Deborah,女性,['deb&#601;r&#601;],黛博拉,希伯来语,无
Debra,女性,['debr&#601;],黛布拉,希伯来语,无
Decker,男性,['dek&#601;],德克尔,英语,★★★
Dee,中性,[di:],迪,威尔士语,★
Deidre,女性,['di&#601;dri],黛德丽,凯尔特语,无
Deirdre,女性,['di&#601;dr&#601;],迪尔德丽,盖尔语,无
Delaney,中性,[d&#601;'leini],德莱尼,盖尔语,★★
Delia,女性,['di:lj&#601;],迪莉娅,希腊语,★
Delicia,女性,[di'li&#643;&#601;],迪丽莎,拉丁语,无
Delilah,女性,[di'lail&#601;],黛利拉,希伯来语,无
Dell,男性,[del],德尔,英语,★
Della,女性,['del&#601;],德拉,德语,无
Delphine,女性,['delfi:n],黛尔菲恩,希腊语,无
Demetrius,男性,[d&#601;'mi:tri&#601;s],迪米特里厄斯,希腊语,无
Dempsey,男性,['dempsi:],登普西,盖尔语,★★
Denis,男性,['denis],丹尼斯,希腊语,★
