id,phrase,source,source_snippet,meaning,keywords,style,gender,wuxing,quality,combos,created_at
1,安颐,候选词,,安适养身,['平安健康（10个候选词）'],"['古风典雅', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.518123
2,康宁,候选词,,健康安宁,['平安健康（10个候选词）'],"['稳重成熟', '古风典雅', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.534221
3,静和,候选词,,安静平和,['平安健康（10个候选词）'],"['温柔婉约', '清新自然', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.535206
4,佑安,候选词,,护佑平安,['平安健康（10个候选词）'],"['大气豪迈', '古风典雅', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.536114
5,泰然,候选词,,安泰自然,['平安健康（10个候选词）'],"['大气豪迈', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.536976
6,顺安,候选词,,顺遂平安,['平安健康（10个候选词）'],"['现代简约', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.537842
7,宜宁,候选词,,适宜安宁,['平安健康（10个候选词）'],"['温柔婉约', '诗意浪漫', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.538653
8,平澜,候选词,,平静无波,['平安健康（10个候选词）'],"['清新自然', '独特个性', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.539383
9,绥和,候选词,,安定平和,['平安健康（10个候选词）'],"['古风典雅', '稳重成熟', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.540155
10,无恙,候选词,,无病无灾,['平安健康（10个候选词）'],"['独特个性', '古风典雅', '平安健康（10个候选词）']",B,,4,[],2026-04-27 14:38:25.540936
11,睿渊,候选词,,智慧深远,['聪明智慧（10个候选词）'],"['大气豪迈', '古风典雅', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.541742
12,明哲,候选词,,明智通达,['聪明智慧（10个候选词）'],"['稳重成熟', '古风典雅', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.542631
13,慧觉,候选词,,智慧觉悟,['聪明智慧（10个候选词）'],"['独特个性', '诗意浪漫', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.543547
14,颖悟,候选词,,聪颖过人,['聪明智慧（10个候选词）'],"['现代简约', '独特个性', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.544393
15,灵均,候选词,,灵性平均,['聪明智慧（10个候选词）'],"['诗意浪漫', '清新自然', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.545275
16,智周,候选词,,智慧周全,['聪明智慧（10个候选词）'],"['大气豪迈', '稳重成熟', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.546155
17,昭慧,候选词,,明慧通达,['聪明智慧（10个候选词）'],"['温柔婉约', '古风典雅', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.546998
18,敏学,候选词,,勤敏好学,['聪明智慧（10个候选词）'],"['现代简约', '稳重成熟', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.547881
19,悟明,候选词,,觉悟明理,['聪明智慧（10个候选词）'],"['独特个性', '诗意浪漫', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.548713
20,析理,候选词,,明辨事理,['聪明智慧（10个候选词）'],"['稳重成熟', '古风典雅', '聪明智慧（10个候选词）']",B,,4,[],2026-04-27 14:38:25.549631
21,鹏举,候选词,,大鹏高飞,['事业有成（10个候选词）'],"['大气豪迈', '独特个性', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.550603
22,云程,候选词,,前程远大,['事业有成（10个候选词）'],"['大气豪迈', '诗意浪漫', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.551624
23,展图,候选词,,施展宏图,['事业有成（10个候选词）'],"['现代简约', '大气豪迈', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.552502
24,业峻,候选词,,事业崇高,['事业有成（10个候选词）'],"['稳重成熟', '古风典雅', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.55349
25,宏毅,候选词,,宏大坚毅,['事业有成（10个候选词）'],"['大气豪迈', '稳重成熟', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.554256
26,奋杰,候选词,,奋发杰出,['事业有成（10个候选词）'],"['现代简约', '独特个性', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.555029
27,腾骧,候选词,,奔腾向前,['事业有成（10个候选词）'],"['大气豪迈', '古风典雅', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.555857
28,勋远,候选词,,功勋远大,['事业有成（10个候选词）'],"['稳重成熟', '古风典雅', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.556927
29,达观,候选词,,通达可观,['事业有成（10个候选词）'],"['现代简约', '稳重成熟', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.557842
30,建功,候选词,,建立功业,['事业有成（10个候选词）'],"['现代简约', '大气豪迈', '事业有成（10个候选词）']",B,,4,[],2026-04-27 14:38:25.558823
31,金玉,候选词,,珍贵富足,['富贵财富（10个候选词）'],"['古风典雅', '稳重成熟', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.559851
32,富润,候选词,,富足润泽,['富贵财富（10个候选词）'],"['温柔婉约', '诗意浪漫', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.560778
33,昌裕,候选词,,昌盛富裕,['富贵财富（10个候选词）'],"['大气豪迈', '稳重成熟', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.561767
34,殷实,候选词,,丰厚充实,['富贵财富（10个候选词）'],"['稳重成熟', '古风典雅', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.562654
35,宝瑞,候选词,,祥瑞珍贵,['富贵财富（10个候选词）'],"['独特个性', '诗意浪漫', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.563419
36,丰年,候选词,,丰收之年,['富贵财富（10个候选词）'],"['清新自然', '稳重成熟', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.56445
37,裕如,候选词,,富足从容,['富贵财富（10个候选词）'],"['现代简约', '温柔婉约', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.565374
38,万钟,候选词,,财富极多,['富贵财富（10个候选词）'],"['大气豪迈', '古风典雅', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.566405
39,禄存,候选词,,福禄长存,['富贵财富（10个候选词）'],"['稳重成熟', '古风典雅', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.56735
40,财厚,候选词,,财富丰厚,['富贵财富（10个候选词）'],"['现代简约', '大气豪迈', '富贵财富（10个候选词）']",B,,4,[],2026-04-27 14:38:25.568302
41,德馨,候选词,,品德芬芳,['品德高尚（10个候选词）'],"['古风典雅', '诗意浪漫', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.569122
42,仁厚,候选词,,仁爱宽厚,['品德高尚（10个候选词）'],"['稳重成熟', '古风典雅', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.570067
43,义诚,候选词,,正义诚信,['品德高尚（10个候选词）'],"['稳重成熟', '现代简约', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.571009
44,礼和,候选词,,礼让温和,['品德高尚（10个候选词）'],"['温柔婉约', '古风典雅', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.57205
45,智仁,候选词,,智慧仁爱,['品德高尚（10个候选词）'],"['稳重成熟', '古风典雅', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.572992
46,信达,候选词,,诚信通达,['品德高尚（10个候选词）'],"['现代简约', '大气豪迈', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.573867
47,忠恕,候选词,,忠诚宽恕,['品德高尚（10个候选词）'],"['古风典雅', '稳重成熟', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.574603
48,廉洁,候选词,,清廉高洁,['品德高尚（10个候选词）'],"['稳重成熟', '独特个性', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.575307
49,正直,候选词,,刚正不阿,['品德高尚（10个候选词）'],"['现代简约', '大气豪迈', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.575992
50,谦光,候选词,,谦虚有光,['品德高尚（10个候选词）'],"['温柔婉约', '诗意浪漫', '品德高尚（10个候选词）']",B,,4,[],2026-04-27 14:38:25.576697
51,熙阳,候选词,,和煦阳光,['阳光开朗（10个候选词）'],"['清新自然', '可爱灵动', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.57775
52,明朗,候选词,,明亮开朗,['阳光开朗（10个候选词）'],"['现代简约', '阳光开朗', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.578705
53,乐天,候选词,,乐观向上,['阳光开朗（10个候选词）'],"['可爱灵动', '现代简约', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.579436
54,欣然,候选词,,欢喜自然,['阳光开朗（10个候选词）'],"['温柔婉约', '诗意浪漫', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.580092
55,恺悌,候选词,,和乐平易,['阳光开朗（10个候选词）'],"['古风典雅', '温柔婉约', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.580806
56,舒畅,候选词,,舒心畅快,['阳光开朗（10个候选词）'],"['现代简约', '清新自然', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.581558
57,开朗,候选词,,心胸开阔,['阳光开朗（10个候选词）'],"['现代简约', '大气豪迈', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.582275
58,笑然,候选词,,含笑自然,['阳光开朗（10个候选词）'],"['可爱灵动', '独特个性', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.582946
59,暖阳,候选词,,温暖阳光,['阳光开朗（10个候选词）'],"['清新自然', '温柔婉约', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.583608
60,乐乐,候选词,,快乐愉悦,['阳光开朗（10个候选词）'],"['可爱灵动', '现代简约', '阳光开朗（10个候选词）']",B,,4,[],2026-04-27 14:38:25.584573
61,婉如,候选词,,温婉美好,['美丽俊俏（10个候选词）'],"['温柔婉约', '古风典雅', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.585381
62,嫣然,候选词,,美好含笑,['美丽俊俏（10个候选词）'],"['可爱灵动', '诗意浪漫', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.586186
63,姝丽,候选词,,美丽女子,['美丽俊俏（10个候选词）'],"['温柔婉约', '古风典雅', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.586966
64,倩兮,候选词,,笑容美好,['美丽俊俏（10个候选词）'],"['可爱灵动', '诗意浪漫', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.587705
65,雅婷,候选词,,优雅娉婷,['美丽俊俏（10个候选词）'],"['温柔婉约', '现代简约', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.588508
66,秀妍,候选词,,秀丽美妍,['美丽俊俏（10个候选词）'],"['清新自然', '温柔婉约', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.589349
67,若溪,候选词,,如溪清澈,['美丽俊俏（10个候选词）'],"['清新自然', '诗意浪漫', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.590165
68,艺璇,候选词,,才艺美玉,['美丽俊俏（10个候选词）'],"['独特个性', '现代简约', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.591033
69,美如,候选词,,美好如意,['美丽俊俏（10个候选词）'],"['温柔婉约', '可爱灵动', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.591987
70,娇然,候选词,,娇美自然,['美丽俊俏（10个候选词）'],"['可爱灵动', '独特个性', '美丽俊俏（10个候选词）']",B,,4,[],2026-04-27 14:38:25.592762
71,毅刚,候选词,,坚毅刚强,['勇敢坚强（10个候选词）'],"['大气豪迈', '稳重成熟', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.593488
72,勇为,候选词,,勇敢作为,['勇敢坚强（10个候选词）'],"['现代简约', '大气豪迈', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.594349
73,强志,候选词,,意志坚强,['勇敢坚强（10个候选词）'],"['稳重成熟', '独特个性', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.59535
74,坚白,候选词,,坚贞清白,['勇敢坚强（10个候选词）'],"['古风典雅', '稳重成熟', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.596345
75,果行,候选词,,果敢行动,['勇敢坚强（10个候选词）'],"['现代简约', '独特个性', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.597395
76,无畏,候选词,,无所畏惧,['勇敢坚强（10个候选词）'],"['独特个性', '大气豪迈', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.598414
77,劲松,候选词,,如松坚韧,['勇敢坚强（10个候选词）'],"['大气豪迈', '古风典雅', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.599501
78,浩然,候选词,,浩然正气,['勇敢坚强（10个候选词）'],"['大气豪迈', '诗意浪漫', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.60063
79,铮然,候选词,,铮铮铁骨,['勇敢坚强（10个候选词）'],"['独特个性', '大气豪迈', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.601718
80,恒毅,候选词,,恒久坚毅,['勇敢坚强（10个候选词）'],"['稳重成熟', '现代简约', '勇敢坚强（10个候选词）']",B,,4,[],2026-04-27 14:38:25.602678
81,嘉乐,候选词,,美好快乐,['幸福美满（10个候选词）'],"['可爱灵动', '现代简约', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.603614
82,和美,候选词,,和谐美满,['幸福美满（10个候选词）'],"['温柔婉约', '稳重成熟', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.604483
83,欣悦,候选词,,欣喜愉悦,['幸福美满（10个候选词）'],"['可爱灵动', '清新自然', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.605156
84,愉然,候选词,,愉悦自然,['幸福美满（10个候选词）'],"['温柔婉约', '诗意浪漫', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.606117
85,满堂,候选词,,福气满堂,['幸福美满（10个候选词）'],"['大气豪迈', '古风典雅', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.607068
86,天伦,候选词,,天伦之乐,['幸福美满（10个候选词）'],"['稳重成熟', '古风典雅', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.607998
87,福泽,候选词,,福气深厚,['幸福美满（10个候选词）'],"['大气豪迈', '古风典雅', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.608879
88,喜乐,候选词,,欢喜快乐,['幸福美满（10个候选词）'],"['可爱灵动', '现代简约', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.609626
89,圆融,候选词,,圆满融通,['幸福美满（10个候选词）'],"['独特个性', '诗意浪漫', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.610287
90,洽怡,候选词,,和洽愉悦,['幸福美满（10个候选词）'],"['温柔婉约', '古风典雅', '幸福美满（10个候选词）']",B,,4,[],2026-04-27 14:38:25.610953
91,艺卓,候选词,,艺术卓越,['才华艺术（10个候选词）'],"['独特个性', '现代简约', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.611547
92,文翰,候选词,,文章华美,['才华艺术（10个候选词）'],"['古风典雅', '诗意浪漫', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.612132
93,墨香,候选词,,笔墨书香,['才华艺术（10个候选词）'],"['诗意浪漫', '古风典雅', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.613272
94,弦歌,候选词,,琴瑟和鸣,['才华艺术（10个候选词）'],"['诗意浪漫', '温柔婉约', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.614405
95,书韵,候选词,,书卷气韵,['才华艺术（10个候选词）'],"['古风典雅', '稳重成熟', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.615487
96,画意,候选词,,如诗如画,['才华艺术（10个候选词）'],"['诗意浪漫', '独特个性', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.616397
97,琴心,候选词,,琴艺心灵,['才华艺术（10个候选词）'],"['温柔婉约', '诗意浪漫', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.617265
98,诗语,候选词,,诗意语言,['才华艺术（10个候选词）'],"['诗意浪漫', '独特个性', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.618033
99,才骏,候选词,,才华卓越,['才华艺术（10个候选词）'],"['大气豪迈', '独特个性', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.618729
100,雅集,候选词,,文人雅集,['才华艺术（10个候选词）'],"['古风典雅', '诗意浪漫', '才华艺术（10个候选词）']",B,,4,[],2026-04-27 14:38:25.619521
101,安,单字,,平安、安定,['平安健康'],"['稳重成熟', '现代简约', '平安健康']",B,,4,[],2026-04-27 14:38:25.620766
102,康,单字,,健康、安乐,['平安健康'],"['大气豪迈', '稳重成熟', '平安健康']",B,,4,[],2026-04-27 14:38:25.621762
103,宁,单字,,安宁、宁静,['平安健康'],"['温柔婉约', '清新自然', '平安健康']",B,,4,[],2026-04-27 14:38:25.62263
104,泰,单字,,安泰、通达,['平安健康'],"['大气豪迈', '古风典雅', '平安健康']",B,,4,[],2026-04-27 14:38:25.623419
105,颐,单字,,养身、安适,['平安健康'],"['古风典雅', '诗意浪漫', '平安健康']",B,,4,[],2026-04-27 14:38:25.624088
106,平,单字,,平安、平和,['平安健康'],"['现代简约', '清新自然', '平安健康']",B,,4,[],2026-04-27 14:38:25.624714
107,和,单字,,和谐、温和,['平安健康'],"['温柔婉约', '稳重成熟', '平安健康']",B,,4,[],2026-04-27 14:38:25.625586
108,顺,单字,,顺遂、顺利,['平安健康'],"['现代简约', '稳重成熟', '平安健康']",B,,4,[],2026-04-27 14:38:25.626352
109,佑,单字,,护佑、保佑,['平安健康'],"['大气豪迈', '古风典雅', '平安健康']",B,,4,[],2026-04-27 14:38:25.627062
110,恬,单字,,恬静、安然,['平安健康'],"['温柔婉约', '诗意浪漫', '平安健康']",B,,4,[],2026-04-27 14:38:25.62772
111,睿,单字,,智慧、深明,['聪明智慧'],"['大气豪迈', '稳重成熟', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.628335
112,智,单字,,智慧、聪明,['聪明智慧'],"['现代简约', '稳重成熟', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.628979
113,慧,单字,,聪慧、灵性,['聪明智慧'],"['温柔婉约', '诗意浪漫', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.629717
114,明,单字,,明达、清晰,['聪明智慧'],"['阳光开朗', '现代简约', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.630431
115,哲,单字,,哲理、明智,['聪明智慧'],"['古风典雅', '稳重成熟', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.631071
116,颖,单字,,聪颖、出众,['聪明智慧'],"['独特个性', '现代简约', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.631721
117,灵,单字,,灵巧、聪敏,['聪明智慧'],"['清新自然', '可爱灵动', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.632351
118,悟,单字,,觉悟、领悟,['聪明智慧'],"['古风典雅', '独特个性', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.63351
119,析,单字,,明辨、分析,['聪明智慧'],"['现代简约', '独特个性', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.634275
120,觉,单字,,觉悟、智慧,['聪明智慧'],"['诗意浪漫', '独特个性', '聪明智慧']",B,,4,[],2026-04-27 14:38:25.635222
121,成,单字,,成功、成就,['事业有成'],"['现代简约', '大气豪迈', '事业有成']",B,,4,[],2026-04-27 14:38:25.636072
122,达,单字,,通达、显达,['事业有成'],"['大气豪迈', '稳重成熟', '事业有成']",B,,4,[],2026-04-27 14:38:25.636821
123,业,单字,,事业、功业,['事业有成'],"['稳重成熟', '古风典雅', '事业有成']",B,,4,[],2026-04-27 14:38:25.637693
124,宏,单字,,宏大、广博,['事业有成'],"['大气豪迈', '稳重成熟', '事业有成']",B,,4,[],2026-04-27 14:38:25.638525
125,展,单字,,施展、拓展,['事业有成'],"['现代简约', '独特个性', '事业有成']",B,,4,[],2026-04-27 14:38:25.639246
126,腾,单字,,腾飞、上升,['事业有成'],"['大气豪迈', '阳光开朗', '事业有成']",B,,4,[],2026-04-27 14:38:25.640175
127,升,单字,,上升、晋升,['事业有成'],"['现代简约', '阳光开朗', '事业有成']",B,,4,[],2026-04-27 14:38:25.641191
128,鹏,单字,,大鹏、高飞,['事业有成'],"['大气豪迈', '独特个性', '事业有成']",B,,4,[],2026-04-27 14:38:25.642058
129,勋,单字,,功勋、业绩,['事业有成'],"['古风典雅', '稳重成熟', '事业有成']",B,,4,[],2026-04-27 14:38:25.642958
130,骏,单字,,骏马、杰出,['事业有成'],"['大气豪迈', '独特个性', '事业有成']",B,,4,[],2026-04-27 14:38:25.643847
131,富,单字,,富裕、富有,['富贵财富'],"['稳重成熟', '大气豪迈', '富贵财富']",B,,4,[],2026-04-27 14:38:25.644831
132,贵,单字,,尊贵、高贵,['富贵财富'],"['古风典雅', '大气豪迈', '富贵财富']",B,,4,[],2026-04-27 14:38:25.645772
133,金,单字,,珍贵、财富,['富贵财富'],"['现代简约', '大气豪迈', '富贵财富']",B,,4,[],2026-04-27 14:38:25.646726
134,玉,单字,,珍贵、美好,['富贵财富'],"['温柔婉约', '古风典雅', '富贵财富']",B,,4,[],2026-04-27 14:38:25.647872
135,宝,单字,,宝贵、珍爱,['富贵财富'],"['可爱灵动', '稳重成熟', '富贵财富']",B,,4,[],2026-04-27 14:38:25.648848
136,瑞,单字,,祥瑞、吉祥,['富贵财富'],"['诗意浪漫', '大气豪迈', '富贵财富']",B,,4,[],2026-04-27 14:38:25.649805
137,丰,单字,,丰收、丰盛,['富贵财富'],"['清新自然', '稳重成熟', '富贵财富']",B,,4,[],2026-04-27 14:38:25.650582
138,裕,单字,,富足、宽裕,['富贵财富'],"['现代简约', '稳重成熟', '富贵财富']",B,,4,[],2026-04-27 14:38:25.651275
139,昌,单字,,昌盛、兴旺,['富贵财富'],"['大气豪迈', '阳光开朗', '富贵财富']",B,,4,[],2026-04-27 14:38:25.651945
140,殷,单字,,殷实、丰厚,['富贵财富'],"['古风典雅', '稳重成熟', '富贵财富']",B,,4,[],2026-04-27 14:38:25.652563
141,德,单字,,品德、道德,['品德高尚'],"['古风典雅', '稳重成熟', '品德高尚']",B,,4,[],2026-04-27 14:38:25.653199
142,仁,单字,,仁爱、仁慈,['品德高尚'],"['温柔婉约', '古风典雅', '品德高尚']",B,,4,[],2026-04-27 14:38:25.653859
143,义,单字,,正义、道义,['品德高尚'],"['大气豪迈', '稳重成熟', '品德高尚']",B,,4,[],2026-04-27 14:38:25.654687
144,礼,单字,,礼节、尊重,['品德高尚'],"['古风典雅', '温柔婉约', '品德高尚']",B,,4,[],2026-04-27 14:38:25.655631
145,诚,单字,,诚信、真诚,['品德高尚'],"['现代简约', '稳重成熟', '品德高尚']",B,,4,[],2026-04-27 14:38:25.656713
146,信,单字,,诚信、信任,['品德高尚'],"['大气豪迈', '稳重成熟', '品德高尚']",B,,4,[],2026-04-27 14:38:25.657624
147,忠,单字,,忠诚、忠心,['品德高尚'],"['古风典雅', '稳重成熟', '品德高尚']",B,,4,[],2026-04-27 14:38:25.658573
148,恕,单字,,宽恕、包容,['品德高尚'],"['温柔婉约', '诗意浪漫', '品德高尚']",B,,4,[],2026-04-27 14:38:25.659346
149,廉,单字,,廉洁、清廉,['品德高尚'],"['稳重成熟', '独特个性', '品德高尚']",B,,4,[],2026-04-27 14:38:25.660084
150,谦,单字,,谦虚、谦逊,['品德高尚'],"['温柔婉约', '古风典雅', '品德高尚']",B,,4,[],2026-04-27 14:38:25.660958
151,阳,单字,,阳光、温暖,['阳光开朗'],"['阳光开朗', '清新自然']",B,,4,[],2026-04-27 14:38:25.66209
152,光,单字,,光明、光彩,['阳光开朗'],"['大气豪迈', '现代简约', '阳光开朗']",B,,4,[],2026-04-27 14:38:25.663189
153,朗,单字,,明朗、爽朗,['阳光开朗'],"['阳光开朗', '现代简约']",B,,4,[],2026-04-27 14:38:25.664391
154,熙,单字,,光明、和煦,['阳光开朗'],"['诗意浪漫', '温柔婉约', '阳光开朗']",B,,4,[],2026-04-27 14:38:25.665441
155,乐,单字,,快乐、欢乐,['阳光开朗'],"['可爱灵动', '阳光开朗']",B,,4,[],2026-04-27 14:38:25.666451
